Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
NOX1,0.014006992446969423,0.019457284860195947,True
CHMP5,0.0002991233056513035,0.0005096513566551207,True
UBE4B,5.4672248731437e-10,1.8119603546218912e-09,True
DHDH,3.0512401506275166e-06,6.488732212911563e-06,True
C20orf27,1.5644065626287277e-05,3.079786138964247e-05,True
GTF2A2,3.368324541621253e-06,7.130858634375875e-06,True
RASSF3,1.5073778719619886e-16,2.766431776364328e-15,True
CRIM1,1.4037968413007412e-12,7.043447700688442e-12,True
C11orf96,1.1591041700287918e-13,7.26138210975804e-13,True
ZC3H12D,0.02786034166948197,0.037105504891749665,True
TRIM71,1.5020074902796677e-14,1.186427955856482e-13,True
ICAM4,7.463590769069538e-15,6.459595718220255e-14,True
GABARAPL1,5.511629146666717e-11,2.104628503728283e-10,True
SULT1A2,2.948055769052903e-17,1.3176754528214198e-15,True
ZNF622,8.238173521423291e-05,0.00014952137800229814,True
ADCK3,2.2010776077951016e-05,4.26273718325789e-05,True
PDZRN3,6.71459621689129e-09,1.928943795230577e-08,True
GTF2F2,1.5869755731925397e-05,3.1227933736076005e-05,True
ZNF259,0.012565135120853442,0.01756170786510867,True
PSMD9,0.004124562987464343,0.006138694374812313,True
ABHD5,3.446338181763085e-14,2.4703523688778957e-13,True
TRMT5,1.9794439969813705e-12,9.662304336776823e-12,True
ZNF619,4.406423193771477e-05,8.249806076991684e-05,True
ACO1,3.994033827226319e-09,1.1808477556962976e-08,True
NUP88,1.8284686827569905e-05,3.571550937881842e-05,True
VIM,1.4238115796872305e-15,1.5885021046514025e-14,True
IRAK3,4.3622428518970604e-16,6.009389574682753e-15,True
CRIPAK,3.835808397639995e-09,1.137181912978049e-08,True
ZNF43,7.028850813073275e-07,1.601891791501858e-06,True
C7orf55-LUC7L2,9.367531722016092e-05,0.00016890106512663396,True
LRP5,0.00025129464659562665,0.0004312651519908057,True
SPAG1,0.0004554677831626126,0.0007591632581871953,True
HMHA1,2.247053082361238e-12,1.0842972625081113e-11,True
LYG1,0.0023906024985115124,0.0036644992501189385,True
RASGRP2,1.0687542065916226e-16,2.2379065356206402e-15,True
SLC12A4,1.1561839540765427e-13,7.26138210975804e-13,True
VMO1,1.577992593840534e-10,5.604404206125663e-10,True
NOL8,2.9028380932942957e-07,6.911043007395115e-07,True
SLC35A4,1.8848242556788118e-13,1.129390878142611e-12,True
EIF2S1,7.595465244701865e-10,2.476626313745276e-09,True
ZMYND12,2.7907565413156203e-14,2.0454102355208886e-13,True
MCM3,1.1687323531843683e-15,1.349675558509499e-14,True
DLL4,1.4669144346542832e-16,2.7281286202623742e-15,True
ALG11,1.5893041162624723e-05,3.126328447112027e-05,True
AC027763.2,8.619201264203692e-08,2.185158524201919e-07,True
BARD1,9.554260387464564e-11,3.5109518866932637e-10,True
PPCS,0.028823037034040752,0.038316118873647866,True
TBX3,1.6129871864084835e-10,5.720002520344431e-10,True
TNK2,2.8566886822633103e-07,6.8049223643269e-07,True
BCL2L11,1.6808402267923557e-10,5.948886481835269e-10,True
EXTL1,1.0049452185613896e-07,2.5280950415972045e-07,True
SMARCE1,5.997273414990492e-06,1.2363114348921332e-05,True
ZNF793,0.011514023554374093,0.016192181447558813,True
CCR7,2.712308562788724e-06,5.796750021300904e-06,True
LIPT1,0.000747702643984234,0.0012162488865186103,True
ZNF92,1.7987629224905912e-05,3.515514140290187e-05,True
CENPK,8.362600863467836e-16,1.0189875486106573e-14,True
SLC6A12,2.044910836077578e-15,2.142193279722507e-14,True
HEXIM1,0.011167269401037634,0.015736567330363417,True
SUPT20H,0.0017467170499304834,0.002728998556348838,True
PLXNA4,0.003826489496446462,0.005718713214907226,True
CHN2,1.8749198183148974e-09,5.776572117244489e-09,True
P2RY13,1.780086917742394e-15,1.9064477063856077e-14,True
FXR1,3.949553319393236e-17,1.4383199463030255e-15,True
SLC18A1,0.00021840303432810198,0.00037736671514482516,True
GYG2,4.54983663769053e-06,9.483401051653464e-06,True
JAKMIP2,0.007868447188994484,0.011298098677572912,True
CCDC77,2.1650281220376154e-08,5.8530298604381544e-08,True
GDF11,3.5431514258136354e-06,7.475322530646135e-06,True
RP11-345J4.5,6.179750560282229e-14,4.126425552468912e-13,True
AC004466.1,1.9030954209112907e-07,4.6317234990479777e-07,True
LEMD1,3.423843134011965e-05,6.494662363023685e-05,True
MAN2B1,1.6370267359723904e-08,4.4817174110813065e-08,True
KIAA1522,6.398853905442181e-12,2.847506471316684e-11,True
MBD1,0.03762267474262294,0.04917020019509845,True
GATA2,7.068079984746498e-16,8.938585778660011e-15,True
ZNF365,1.6402549357154288e-08,4.48984376715006e-08,True
TOX,5.372325875854683e-15,4.8564588961480715e-14,True
SIX2,2.3032883285378553e-08,6.202541835618308e-08,True
DNAJC8,0.0025250198267212443,0.0038594688998946644,True
APOH,6.495495566982538e-17,1.7375813775071286e-15,True
FFAR4,5.027828242283215e-16,6.73435131969365e-15,True
THEMIS2,3.18883699212223e-14,2.3010509205894537e-13,True
MED7,9.409562230136405e-12,4.06680479173396e-11,True
FBXO7,2.411596544988918e-09,7.334565196247104e-09,True
COX16,0.002799495980979251,0.004254908769260651,True
PYCARD,0.007025071838255009,0.01016083914019464,True
C14orf28,1.3135292277542027e-08,3.6393291755338974e-08,True
AC020922.1,0.0012684011722661128,0.002011131801654557,True
CHPF,2.4378596903130685e-08,6.54922676746305e-08,True
NDUFAF6,4.1829158079043005e-06,8.75771065101767e-06,True
ANAPC4,0.014241219091656097,0.01976716116598127,True
OPTN,0.00035041008758989844,0.000592128950710701,True
CLSTN1,3.5039437369712665e-13,1.9852616614030383e-12,True
RBM12,0.0014100971156644037,0.002226638726974641,True
NRG4,0.0004555937867078625,0.0007591632581871953,True
SLC6A6,2.665867245535847e-06,5.703846503174604e-06,True
AK2,2.052748296884021e-10,7.178385997706774e-10,True
FRAT2,0.001789757408767034,0.0027915351836354154,True
ZNF449,0.025047265600359685,0.033587992049483734,True
POMGNT2,1.4665702133029796e-06,3.2335673815965505e-06,True
SEZ6,4.257279954376095e-05,7.985288948083284e-05,True
NDRG2,2.9411374354437926e-11,1.1711232286867262e-10,True
TUBB4A,0.004130402981866902,0.006144739193226897,True
CNOT2,2.5227357411325173e-05,4.858445922861119e-05,True
ZNF610,0.0021064340325540687,0.00325276194800854,True
CALCB,0.0006051262951214579,0.0009950082570172457,True
RNF152,0.029881013576910115,0.03962866625027843,True
SEC61A1,6.433373070636646e-09,1.85382018007086e-08,True
ARPC4,9.586935573938937e-10,3.0846398219369557e-09,True
C11orf16,8.916263978317267e-09,2.5282156984404186e-08,True
UCHL3,3.5791252485452248e-12,1.671968325273628e-11,True
RPAIN,0.023103128236431715,0.03115696917535448,True
IQSEC2,1.4046062718025755e-10,5.033099636048432e-10,True
ATIC,1.0978712950958339e-13,6.927245245870872e-13,True
MOV10,0.0003414015106637878,0.0005779236743475683,True
C16orf13,9.884055188732997e-06,1.9963410895049988e-05,True
ATP5G3,2.7351216036570623e-11,1.0937320764624016e-10,True
NDST2,4.0630329447923e-08,1.0660524623524756e-07,True
GPR156,5.242986449368717e-08,1.3595405420721193e-07,True
SLC16A4,3.0155536683524068e-15,2.9470346883187945e-14,True
C2orf73,2.2392778144351083e-12,1.0823593800885981e-11,True
GZMM,1.939888410776487e-12,9.47725460864361e-12,True
JDP2,1.4243645499884356e-15,1.5885021046514025e-14,True
SNRPN,5.136830398927441e-11,1.970658342026905e-10,True
C6orf211,4.111489875138817e-10,1.3812910850451782e-09,True
ENTPD2,5.347397737110568e-08,1.384951962647452e-07,True
ZNF623,2.1919634452269104e-12,1.0611342199750578e-11,True
GDF3,6.050439299928965e-06,1.2465275957814297e-05,True
CBX8,6.942865736241601e-11,2.6062148108121176e-10,True
HEXIM2,0.010639974063726534,0.015028835863996762,True
QTRT1,5.621717713817491e-06,1.1618037265964489e-05,True
RMDN2,2.536304298120062e-16,3.933093065531783e-15,True
PTCRA,1.2340742383703624e-16,2.460679148540539e-15,True
SAFB,0.011506320236195555,0.01618661906191191,True
HCFC1,7.151931047158771e-07,1.6288676181894235e-06,True
REXO4,4.4320511915533306e-09,1.3036554458383072e-08,True
APMAP,6.08026121772786e-10,2.002220978578894e-09,True
NPW,1.8766199906991814e-08,5.10851092646208e-08,True
NR2F1,9.092138912498177e-16,1.0972662974202394e-14,True
AL603965.1,1.1928977006480923e-07,2.9727795410697916e-07,True
AC104667.3,3.9402921904604933e-07,9.242165321141212e-07,True
PLRG1,0.037627263804242715,0.04917175651903305,True
CACNB4,1.0019586684363461e-10,3.6647969505055857e-10,True
ERAP2,4.546056297482133e-05,8.493715387585497e-05,True
NKIRAS2,1.5803768163027562e-12,7.874534035659105e-12,True
PLCD4,8.14149363621714e-05,0.00014781324494550824,True
BCMO1,0.00025483926380986493,0.00043687092213113193,True
MAP3K11,1.4831902309792114e-11,6.181450238881996e-11,True
BZRAP1,1.5508541336297122e-07,3.807162876005866e-07,True
PRKRA,0.004036315413448574,0.006014607846745805,True
PIGS,5.705513809102015e-06,1.1782755654780313e-05,True
TM4SF18,9.162752969009859e-14,5.893021501848299e-13,True
ZNF567,0.0005044525286823855,0.0008357074072525152,True
CD36,1.2830756588313518e-14,1.0337139319955188e-13,True
HMCN1,2.9249273929049834e-09,8.807411663314204e-09,True
TSPAN19,2.0967181825581954e-08,5.677242414371917e-08,True
MMP14,2.30315297793122e-12,1.1090567890533059e-11,True
FBF1,1.0889832242814435e-05,2.186833576685188e-05,True
SMPD3,4.1223635979426295e-10,1.3846749203666912e-09,True
KRT18,0.007098962237567081,0.010256299460899166,True
KLRF1,3.549671566201794e-14,2.5328614748507223e-13,True
C1orf213,0.028098697501492576,0.03741367344984463,True
MME,3.26486679917925e-06,6.917769404614442e-06,True
FAM178A,0.0019190074490081795,0.0029811918778431925,True
PITX1,1.0089226133892964e-16,2.163785533067946e-15,True
DNMT3B,1.1694174004520177e-15,1.349675558509499e-14,True
C2orf43,3.854690125082897e-06,8.095036702018848e-06,True
HLA-DOB,0.0010967341834745637,0.0017519958405329285,True
LRRC61,0.003743559388152688,0.005603499560725906,True
RIPK1,1.5832768632078116e-12,7.882163634557622e-12,True
SSBP3-AS1,0.001987142380536941,0.003080680542099564,True
GPR111,0.0004823608322788004,0.0008011521370653087,True
CTD-3105H18.14,9.65585327835742e-14,6.182537634678445e-13,True
FAM174A,1.4269596182102963e-14,1.132827737975011e-13,True
PSMD8,4.3441796802677336e-11,1.684905792021219e-10,True
CCDC66,0.00011787751689182922,0.00021015791337482986,True
ANAPC5,5.913449097392971e-09,1.7125705474847205e-08,True
DMRT2,6.467336752067951e-05,0.00011890511110256903,True
PPT1,3.6830490455054207e-07,8.667030685343433e-07,True
SYCE2,3.791167321680651e-06,7.970889135959539e-06,True
KCNK9,9.39441541419925e-10,3.0266416687857526e-09,True
GSTZ1,9.167787442298884e-07,2.06269247285378e-06,True
PRDM5,4.158328324734161e-14,2.911841175913362e-13,True
MTMR4,3.548003565010887e-08,9.366100486791422e-08,True
RP11-507M3.1,0.00018957410215470237,0.00032979784639702755,True
RTCB,8.068540867878857e-10,2.623946601893962e-09,True
IL36G,6.273005670024521e-14,4.184022121609019e-13,True
FUS,0.004454039744964176,0.006602115753000794,True
TAF5,2.623942726967392e-09,7.950992914990649e-09,True
PNPLA8,0.00035515732416797457,0.0005994037405219081,True
DAG1,0.00353916488701252,0.005315054631238918,True
AKR1B15,1.5944000689705505e-16,2.858164531918566e-15,True
FAM154A,0.005289182304516887,0.0077722545347507,True
CILP,0.017064320415776244,0.023449696538265424,True
C7orf63,9.317485537258904e-09,2.6324766618754432e-08,True
HSPH1,0.0024723529421539084,0.003783319787023542,True
MED9,0.03427874071631192,0.04505898994630105,True
PRPF38B,0.002647612684407801,0.004036849878477031,True
KCTD5,6.506640978293907e-10,2.1351456530171432e-09,True
ZNF396,1.0924555384033865e-06,2.44015637780172e-06,True
C1QTNF6,4.5592980127998986e-15,4.196157334636028e-14,True
PAQR8,5.982357712184503e-15,5.351902096218917e-14,True
BLOC1S4,0.00012636597708439115,0.0002245856228531746,True
TPRN,7.689445053320482e-05,0.00014001722652365808,True
CAPN6,0.00012307677751546633,0.0002191682642593218,True
CCL14,2.397444634401215e-16,3.785727244906854e-15,True
LSM4,4.4973111254138203e-14,3.1173277428258143e-13,True
BCL2A1,1.3688635846668201e-12,6.8821648501511396e-12,True
DKC1,1.1938618315053205e-16,2.4196306588067955e-15,True
OSGEP,0.0001356050950158141,0.00024026441193827577,True
OR2C1,1.2734689773322114e-05,2.5335916829913567e-05,True
ANKRD32,1.7995967395844478e-05,3.516745890986576e-05,True
PSMD7,5.38452639196963e-14,3.6491837356326154e-13,True
ZNF37A,0.0006755708873846329,0.0011048458846510967,True
ANKS1B,1.9573878387919493e-09,6.015633324164904e-09,True
ZNF202,0.0004606377925581436,0.000767359485674246,True
SLC25A24,5.474998065752494e-10,1.8139737550033438e-09,True
CYTH4,1.2377098590299857e-08,3.442511321001932e-08,True
FAM161A,2.140496308954884e-06,4.636042344181999e-06,True
IGFBP6,0.0008907699319445739,0.0014374638556134997,True
CERCAM,1.097956979884025e-10,3.998989421778733e-10,True
B3GNT4,4.872722005295184e-14,3.3390032781227414e-13,True
TNFRSF10D,2.4430235220386783e-08,6.556981522263472e-08,True
AES,2.2667639959745402e-13,1.330558886526e-12,True
FAM189A1,1.1499377132007335e-14,9.422664048810224e-14,True
PPM1G,1.2258617040697352e-16,2.460679148540539e-15,True
PRDM10,0.031195433278995984,0.04126980470934719,True
PGF,2.441745389733056e-11,9.8485060956429e-11,True
C9orf24,1.2587854316883224e-10,4.532204737894075e-10,True
WNT9B,0.00035321695138625976,0.0005965219312931506,True
BBS9,6.322916170549416e-07,1.4473085576552426e-06,True
PARM1,1.541273094970653e-13,9.404977999158613e-13,True
WDR31,0.0027396340655220022,0.004166858468206778,True
IFI6,0.03147663983407018,0.04162270002553294,True
METTL21A,0.001298659698764991,0.0020566874125564007,True
CUL4B,1.357892656430326e-05,2.6922524549333044e-05,True
DEXI,0.0007950634205649708,0.0012892819478325232,True
ALPL,7.264650458717515e-16,9.160353041922998e-15,True
RAB9B,1.8673278098143954e-06,4.069310167955912e-06,True
PCTP,1.8459066365885828e-10,6.490542875446319e-10,True
HAUS7,8.250755425053177e-05,0.00014971827727709415,True
TRPV3,2.3231652109877086e-11,9.408277203367875e-11,True
SNRPD1,1.3059610289885902e-15,1.4769221516311272e-14,True
TMSB15B,0.009631746242367352,0.013685309318282202,True
RP11-863K10.7,3.4468350916603006e-10,1.1709398949171371e-09,True
TMCC3,4.216934724313866e-05,7.912191524114483e-05,True
SNURF,2.1269647844409766e-15,2.2147870193621382e-14,True
GPR97,0.00015597248143052258,0.00027438132553078183,True
METTL7A,1.0157884467897068e-15,1.2033157249196756e-14,True
RP11-690P14.4,1.6214470233751897e-12,8.058255848333257e-12,True
AC109829.1,0.0027284508398236927,0.004153872235652973,True
CTSZ,1.390266725804272e-09,4.3703729985048936e-09,True
SLC39A9,0.03228543611269041,0.04261922288213827,True
RBM43,3.9889686599645746e-08,1.047353559038742e-07,True
TIMMDC1,1.574591412204997e-12,7.847970757599921e-12,True
CD79B,6.755873551984833e-05,0.00012393301009932888,True
ELOVL1,0.00249919429130417,0.003823039173140843,True
WFIKKN1,4.477495867568803e-05,8.373794642443551e-05,True
ZXDA,0.00021644069766523646,0.00037435052584771327,True
AGRP,1.1599184849483047e-16,2.3712200017553318e-15,True
MGMT,0.00016695054101343625,0.00029270989505806466,True
AC021860.1,0.0026783381162981245,0.004079497482205553,True
OSCAR,1.8500936688265154e-16,3.1364443698702704e-15,True
SULT1C2,3.1133936932212967e-09,9.348839918372658e-09,True
TBL2,0.00021926491649889042,0.0003787801432518332,True
CCDC178,2.2508491136804596e-10,7.837818673418652e-10,True
HMGB2,4.623454100192163e-14,3.1897032580199526e-13,True
PPP1R7,2.6458588875977836e-07,6.32976212204012e-07,True
ZC3H6,4.7443403289626447e-07,1.10182749435385e-06,True
RIN1,3.489491148309433e-06,7.369310462963991e-06,True
HAGH,2.073593114655566e-14,1.5704217911299828e-13,True
PHF3,0.006530214045543572,0.009487099384838221,True
FANCE,5.4411484276402775e-17,1.6133430234911366e-15,True
KLK13,0.011072235384357332,0.015605194277945085,True
CRLS1,0.0003790672801817907,0.0006378609620755394,True
FERMT1,4.855998723283342e-17,1.5260471926498634e-15,True
C17orf105,0.006089309672529835,0.008881528587719765,True
