Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
SORD,1.383114626082743e-09,1.150375790350476e-08,True
RARRES3,8.031090907046913e-10,1.093136886055739e-08,True
STARD3,0.0020077388068011908,0.0031385112557678558,True
WEE1,0.0005584160540050752,0.0009419624385253075,True
PEX2,0.0003115529890217856,0.0005444141093820905,True
DIRAS3,2.4096796563214802e-06,5.8432363928907315e-06,True
RPL26L1,9.598394956974107e-06,2.1020825669590223e-05,True
CCNB2,8.031090907046913e-10,1.093136886055739e-08,True
PSMB10,1.5496795271408795e-07,4.799339159440426e-07,True
RPL35,0.00011965517407476322,0.00022211939954239573,True
MZT2A,1.1812325186599061e-09,1.1075794898154324e-08,True
SKIV2L,1.810099071924746e-06,4.482434269997132e-06,True
RBM15B,0.010041619131444515,0.014323257410263726,True
EXOC2,0.01292846561195227,0.018158400689298332,True
ITGA9,8.031090907046913e-10,1.093136886055739e-08,True
KIAA1191,1.4705417575405934e-07,4.5772268218943695e-07,True
SH3PXD2B,3.5275103141639696e-05,7.069343466030461e-05,True
PRNP,0.0011220770031458965,0.0018134418775699655,True
GRIK4,2.3493381424195532e-07,6.975733312185937e-07,True
ARRB1,7.556929455863566e-10,1.093136886055739e-08,True
SH3D21,0.002248634677809934,0.0034879378700876902,True
COX5B,7.160522709164976e-07,1.908036862576353e-06,True
EMB,7.524789949242506e-07,1.999242484976381e-06,True
NPM1,1.5900692617743417e-06,3.983821101834917e-06,True
HSPE1-MOB4,0.00021108466415340483,0.00037854122010277886,True
FUBP3,0.0004032820954100997,0.0006934107891121203,True
SMPD4,8.53422673646545e-10,1.093136886055739e-08,True
MPZL3,0.026200945344041826,0.03525088246248618,True
FAM45A,0.005951765777890864,0.008736235348208402,True
DUS2,0.00029460234830179955,0.0005168855948520808,True
C1GALT1C1,0.0011806230394560656,0.0019018335515296094,True
EYA1,0.017334581738329847,0.023928634741230265,True
STEAP2,0.00013460788367532326,0.0002480110058117757,True
UTP20,1.128514410684054e-06,2.8993287395251385e-06,True
SGCB,8.775508182574744e-06,1.9348679496359758e-05,True
RASSF7,8.663083653807441e-08,2.8664005002781757e-07,True
ELMOD2,0.029743918089519098,0.039699156686737416,True
CYP27B1,1.98410437411317e-08,8.00640108918594e-08,True
UBAP2,0.00016349151895160034,0.0002972599906462766,True
CTPS2,0.002397742379179786,0.0037055823582332085,True
LPO,1.259740291155127e-06,3.2121053180376114e-06,True
FMNL3,2.3493381424195532e-07,6.975733312185937e-07,True
ADAM29,8.661590715610181e-08,2.8664005002781757e-07,True
THBD,1.6442621929354076e-06,4.101751535445367e-06,True
FAF1,7.906875722375847e-07,2.0930321499240386e-06,True
KPNA5,1.5859651576522734e-08,6.687221893688803e-08,True
SMPX,0.020476904778363697,0.027985643199860195,True
OSGEPL1,9.432236374349153e-05,0.0001780785610567012,True
CXorf21,1.0235189212610724e-09,1.093136886055739e-08,True
SLITRK6,0.0021080676979184686,0.003282573416399995,True
MUC5B,0.006774211753433288,0.009870986499003833,True
CACFD1,1.071681462657252e-07,3.4623709121758047e-07,True
ZNF254,9.598394956974107e-06,2.1020825669590223e-05,True
NUP205,7.556929455863566e-10,1.093136886055739e-08,True
FAM149B1,9.062759682479183e-05,0.00017151530840800602,True
GPR98,3.678834025023841e-05,7.355539095172089e-05,True
PCDHGA4,0.000115029232886914,0.00021412820938719498,True
CCNB1,7.556929455863566e-10,1.093136886055739e-08,True
P2RX5-TAX1BP3,1.7796456927994258e-05,3.733257965162123e-05,True
ZNF473,0.024807493454958803,0.033469966372572116,True
C5orf60,0.002934142848691949,0.004479261020780613,True
EREG,0.0043370828429131975,0.006476195532139812,True
ROPN1L,1.7204942335517304e-07,5.272580784922148e-07,True
SPATA20,0.02101456731684548,0.028672826032580808,True
UFD1L,2.619793470726049e-08,1.0122328831758553e-07,True
NUP133,4.789292489522846e-08,1.706534182094783e-07,True
HMG20B,4.924034919118614e-05,9.655244407238827e-05,True
DNAJC2,5.063849902320951e-09,2.742257274689481e-08,True
ZSCAN9,0.024255225341631288,0.03277092271051779,True
COLEC10,1.023291039922917e-09,1.093136886055739e-08,True
PSMB9,9.432236374349153e-05,0.0001780785610567012,True
LBH,1.3394511022385218e-08,5.886293002078469e-08,True
MMP15,0.00010214275675092093,0.00019162859718420495,True
ASTL,0.001141160378755924,0.0018441109020588013,True
E2F8,8.031090907046913e-10,1.093136886055739e-08,True
SNX20,1.6551652076305667e-09,1.259602597436918e-08,True
MFSD4,1.0872449061578735e-09,1.093136886055739e-08,True
SMCO1,4.4898363078792207e-05,8.865232851596015e-05,True
LTBP2,6.023629494981426e-09,3.1380639181484964e-08,True
POPDC3,6.813275396349823e-07,1.8256449894825995e-06,True
TMPRSS6,6.379953140191524e-09,3.289643179092559e-08,True
IGFBP4,1.8989320193738752e-06,4.68027545080378e-06,True
SELO,0.0003623260794525625,0.000628368941124688,True
TOMM22,1.2349767731596106e-08,5.54567812745835e-08,True
SERPINH1,1.6329285453687908e-07,5.028313836229208e-07,True
C15orf37,3.19761362271102e-07,9.185030816816241e-07,True
ITPA,5.6363761403217416e-08,1.9630725367753647e-07,True
SLC41A3,0.0036191049075792858,0.0054516949144081065,True
FMO5,7.556929455863566e-10,1.093136886055739e-08,True
SLC5A2,1.6442621929354076e-06,4.101751535445367e-06,True
GALNT7,1.4703800774225145e-08,6.35179190734532e-08,True
TMEM110-MUSTN1,2.8226548342339874e-09,1.784169859545998e-08,True
HDX,0.0004664577578360452,0.0007957003818127462,True
DHRS1,1.0494687921867338e-05,2.2856244812185863e-05,True
IKBKAP,1.1990424712214291e-05,2.5878883920977244e-05,True
FGF8,0.0366172966677137,0.0482037046266535,True
SCHIP1,1.5496795271408795e-07,4.799339159440426e-07,True
CLEC1A,9.63065645576518e-07,2.5021746168347647e-06,True
TMEM63B,1.7569391573831783e-09,1.3037424374482134e-08,True
ARRDC4,3.88766196573343e-08,1.4183603053441395e-07,True
RNASEH2A,8.031090907046913e-10,1.093136886055739e-08,True
KANK1,2.6223561767083026e-05,5.3610891068208196e-05,True
ADAP1,1.1155358793431112e-06,2.8676908207815842e-06,True
ITPKB,0.01864592593471131,0.025643529219181425,True
CPA2,0.00033548690966132627,0.0005846746373757852,True
NARG2,0.0001244561254380507,0.00023041255674014855,True
DYDC2,5.579682013024585e-07,1.5278016607227723e-06,True
MMP3,1.6772103187405675e-08,6.998150345393796e-08,True
APOLD1,1.6329285453687908e-07,5.028313836229208e-07,True
GPR110,0.0007677489957675069,0.0012704850954576331,True
TRIM7,2.3493381424195532e-07,6.975733312185937e-07,True
ETFDH,0.00010214275675092093,0.00019162859718420495,True
PLD1,1.7569391573831783e-09,1.3037424374482134e-08,True
CA7,0.014247673809636107,0.019897216253958266,True
NDUFS8,3.854195206010719e-06,9.032861509135148e-06,True
FAM175A,8.38584720412258e-06,1.8581221426423543e-05,True
ZFYVE16,1.8196420467945707e-09,1.3450713033109203e-08,True
EXPH5,5.579682013024585e-07,1.5278016607227723e-06,True
SQLE,1.9149596803908824e-07,5.806727835484026e-07,True
SLC24A5,1.4223946331142919e-06,3.591309028595971e-06,True
SUN3,0.0006430617408702406,0.0010768319704439035,True
IPPK,7.784669528923821e-08,2.6092387681831394e-07,True
RP11-644F5.10,0.00447040949360455,0.0066646820777512385,True
PTPRT,0.01688572946162479,0.02334728481267554,True
TARBP1,2.0974999290923075e-08,8.37364559549711e-08,True
TMBIM4,7.555220876380673e-10,1.093136886055739e-08,True
TMEM241,0.0009085203278360517,0.0014893422531189783,True
HNF1B,2.1002250112728297e-09,1.4529990816875506e-08,True
C1orf21,0.00015130856874845337,0.00027636450889506576,True
IL12B,0.000913354850878499,0.0014944962475640002,True
UNC45A,3.6788466701129835e-06,8.657141564664458e-06,True
KRT23,2.512697375703722e-05,5.1521480314874534e-05,True
RGPD8,0.00010839544271509646,0.0002027865792617816,True
ARL6IP5,7.556929455863566e-10,1.093136886055739e-08,True
LRRC3B,1.7038575734338945e-05,3.5899670180595836e-05,True
LDHB,1.253271740608575e-05,2.696844708397251e-05,True
MMRN1,7.556929455863566e-10,1.093136886055739e-08,True
CACNA1H,1.9094468838628967e-07,5.795097490992892e-07,True
FBXO25,0.00010257507104470712,0.0001923352167911989,True
PTGER4,2.9259876905925688e-08,1.1113967657615927e-07,True
SERPING1,9.06805772149548e-10,1.093136886055739e-08,True
LIPA,5.949378648206278e-08,2.0612819123097364e-07,True
HUS1,9.357123801985516e-06,2.054713533485443e-05,True
PAM16,0.00085235684944082,0.0014004626758693328,True
NCF2,1.5591448621045152e-09,1.2209531955056891e-08,True
YPEL5,7.682547281057744e-08,2.5936291631868773e-07,True
ERCC6L2,0.003721991945786836,0.005600819761626097,True
AK4,7.556929455863566e-10,1.093136886055739e-08,True
LGR6,0.0019444897036157086,0.0030448748758123067,True
